특성별,만족도및해결방법별,항목,단위,2017 년
전체,매우 만족,주차공간 만족도,%,11.8
전체,약간 만족,주차공간 만족도,%,31.3
전체,보통이다,주차공간 만족도,%,33.9
전체,약간 불만족,주차공간 만족도,%,17.5
전체,매우 불만족,주차공간 만족도,%,5.6
전체,평균,주차공간 만족도,점,3.26
전체,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,37.9
전체,공영주차장 조성 확대,주차공간 만족도,,32.4
전체,거주자 우선 주차제 시행,주차공간 만족도,,11.8
전체,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.8
전체,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.4
전체,차량 총량제 시행,주차공간 만족도,,3.4
제주시,매우 만족,주차공간 만족도,%,9.8
제주시,약간 만족,주차공간 만족도,%,27.9
제주시,보통이다,주차공간 만족도,%,38.4
제주시,약간 불만족,주차공간 만족도,%,17.8
제주시,매우 불만족,주차공간 만족도,%,6.1
제주시,평균,주차공간 만족도,점,3.18
제주시,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,39.8
제주시,공영주차장 조성 확대,주차공간 만족도,,31.2
제주시,거주자 우선 주차제 시행,주차공간 만족도,,11.8
제주시,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.6
제주시,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.8
제주시,차량 총량제 시행,주차공간 만족도,,2.9
서귀포시,매우 만족,주차공간 만족도,%,17.5
서귀포시,약간 만족,주차공간 만족도,%,40.9
서귀포시,보통이다,주차공간 만족도,%,20.8
서귀포시,약간 불만족,주차공간 만족도,%,16.5
서귀포시,매우 불만족,주차공간 만족도,%,4.3
서귀포시,평균,주차공간 만족도,점,3.51
서귀포시,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,29.7
서귀포시,공영주차장 조성 확대,주차공간 만족도,,37.5
서귀포시,거주자 우선 주차제 시행,주차공간 만족도,,12
서귀포시,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,5.3
서귀포시,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,7.2
서귀포시,차량 총량제 시행,주차공간 만족도,,5.3
제주시 동부,매우 만족,주차공간 만족도,%,5
제주시 동부,약간 만족,주차공간 만족도,%,24.4
제주시 동부,보통이다,주차공간 만족도,%,42.5
제주시 동부,약간 불만족,주차공간 만족도,%,20.8
제주시 동부,매우 불만족,주차공간 만족도,%,7.3
제주시 동부,평균,주차공간 만족도,점,2.99
제주시 동부,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,42.6
제주시 동부,공영주차장 조성 확대,주차공간 만족도,,29.4
제주시 동부,거주자 우선 주차제 시행,주차공간 만족도,,11.8
제주시 동부,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.9
제주시 동부,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.1
제주시 동부,차량 총량제 시행,주차공간 만족도,,3.2
제주시 읍면부,매우 만족,주차공간 만족도,%,28.2
제주시 읍면부,약간 만족,주차공간 만족도,%,41
제주시 읍면부,보통이다,주차공간 만족도,%,22.9
제주시 읍면부,약간 불만족,주차공간 만족도,%,6.4
제주시 읍면부,매우 불만족,주차공간 만족도,%,1.5
제주시 읍면부,평균,주차공간 만족도,점,3.88
제주시 읍면부,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,15.5
제주시 읍면부,공영주차장 조성 확대,주차공간 만족도,,46.6
제주시 읍면부,거주자 우선 주차제 시행,주차공간 만족도,,11.6
제주시 읍면부,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,24.2
