특성별,현황별,항목,단위,2019 년
전체,매우 만족,주차공간 만족도 및 문제해결,%,19.1
전체,약간 만족,주차공간 만족도 및 문제해결,%,26.4
전체,보통,주차공간 만족도 및 문제해결,%,28.6
전체,약간 불만족,주차공간 만족도 및 문제해결,%,15.2
전체,매우 불만족,주차공간 만족도 및 문제해결,%,10.7
전체,5점 평균,주차공간 만족도 및 문제해결,점,3.28
전체,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.5
전체,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.1
전체,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.8
전체,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,9.5
전체,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.9
전체,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.1
전체,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.6
전체,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.8
전체,기타,주차공간 만족도 및 문제해결,,1.7
제주시 전체,매우 만족,주차공간 만족도 및 문제해결,%,18.1
제주시 전체,약간 만족,주차공간 만족도 및 문제해결,%,24.5
제주시 전체,보통,주차공간 만족도 및 문제해결,%,28
제주시 전체,약간 불만족,주차공간 만족도 및 문제해결,%,16.3
제주시 전체,매우 불만족,주차공간 만족도 및 문제해결,%,13.1
제주시 전체,5점 평균,주차공간 만족도 및 문제해결,점,3.18
제주시 전체,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.8
제주시 전체,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.1
제주시 전체,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,18.5
제주시 전체,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,8.4
제주시 전체,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.9
제주시 전체,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.1
제주시 전체,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.7
제주시 전체,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.7
제주시 전체,기타,주차공간 만족도 및 문제해결,,1.8
제주시 읍면지역,매우 만족,주차공간 만족도 및 문제해결,%,30.4
제주시 읍면지역,약간 만족,주차공간 만족도 및 문제해결,%,29.8
제주시 읍면지역,보통,주차공간 만족도 및 문제해결,%,28.3
제주시 읍면지역,약간 불만족,주차공간 만족도 및 문제해결,%,8.2
제주시 읍면지역,매우 불만족,주차공간 만족도 및 문제해결,%,3.3
제주시 읍면지역,5점 평균,주차공간 만족도 및 문제해결,점,3.76
제주시 읍면지역,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,20.6
제주시 읍면지역,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,56.8
제주시 읍면지역,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,8.9
제주시 읍면지역,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,3.2
제주시 읍면지역,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.2
제주시 읍면지역,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.9
제주시 읍면지역,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
제주시 읍면지역,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
제주시 읍면지역,기타,주차공간 만족도 및 문제해결,,1.4
제주시 동지역,매우 만족,주차공간 만족도 및 문제해결,%,14.3
제주시 동지역,약간 만족,주차공간 만족도 및 문제해결,%,22.9
제주시 동지역,보통,주차공간 만족도 및 문제해결,%,27.9
제주시 동지역,약간 불만족,주차공간 만족도 및 문제해결,%,18.7
제주시 동지역,매우 불만족,주차공간 만족도 및 문제해결,%,16.1
제주시 동지역,5점 평균,주차공간 만족도 및 문제해결,점,3.01
제주시 동지역,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.4
제주시 동지역,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,19.7
제주시 동지역,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,19.5
제주시 동지역,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,8.9
제주시 동지역,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.7
제주시 동지역,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.2
제주시 동지역,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3
제주시 동지역,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.8
제주시 동지역,기타,주차공간 만족도 및 문제해결,,1.8
서귀포시 전체,매우 만족,주차공간 만족도 및 문제해결,%,21.9
서귀포시 전체,약간 만족,주차공간 만족도 및 문제해결,%,31.2
서귀포시 전체,보통,주차공간 만족도 및 문제해결,%,30
서귀포시 전체,약간 불만족,주차공간 만족도 및 문제해결,%,12.4
서귀포시 전체,매우 불만족,주차공간 만족도 및 문제해결,%,4.5
서귀포시 전체,5점 평균,주차공간 만족도 및 문제해결,점,3.53
서귀포시 전체,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,34
서귀포시 전체,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,22.9
서귀포시 전체,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,14.6
서귀포시 전체,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,14.7
서귀포시 전체,차량 총량제 시행,주차공간 만족도 및 문제해결,,5
서귀포시 전체,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.9
서귀포시 전체,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.3
서귀포시 전체,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.2
서귀포시 전체,기타,주차공간 만족도 및 문제해결,,1.4
서귀포시 읍면지역,매우 만족,주차공간 만족도 및 문제해결,%,28.8
서귀포시 읍면지역,약간 만족,주차공간 만족도 및 문제해결,%,36.6
서귀포시 읍면지역,보통,주차공간 만족도 및 문제해결,%,24.6
서귀포시 읍면지역,약간 불만족,주차공간 만족도 및 문제해결,%,8.6
서귀포시 읍면지역,매우 불만족,주차공간 만족도 및 문제해결,%,1.4
서귀포시 읍면지역,5점 평균,주차공간 만족도 및 문제해결,점,3.83
서귀포시 읍면지역,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,26.9
서귀포시 읍면지역,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,24.6
서귀포시 읍면지역,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,11.8
서귀포시 읍면지역,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,14.3
서귀포시 읍면지역,차량 총량제 시행,주차공간 만족도 및 문제해결,,8.9
서귀포시 읍면지역,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,8.6
서귀포시 읍면지역,차고지 증명제 실시,주차공간 만족도 및 문제해결,,4.8
서귀포시 읍면지역,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
서귀포시 읍면지역,기타,주차공간 만족도 및 문제해결,,-
서귀포시 동지역,매우 만족,주차공간 만족도 및 문제해결,%,16.2
서귀포시 동지역,약간 만족,주차공간 만족도 및 문제해결,%,26.8
서귀포시 동지역,보통,주차공간 만족도 및 문제해결,%,34.5
서귀포시 동지역,약간 불만족,주차공간 만족도 및 문제해결,%,15.5
서귀포시 동지역,매우 불만족,주차공간 만족도 및 문제해결,%,7.1
서귀포시 동지역,5점 평균,주차공간 만족도 및 문제해결,점,3.3
서귀포시 동지역,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,36.5
서귀포시 동지역,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,22.3
서귀포시 동지역,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,15.6
서귀포시 동지역,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,14.9
서귀포시 동지역,차량 총량제 시행,주차공간 만족도 및 문제해결,,3.6
서귀포시 동지역,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,0.9
서귀포시 동지역,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.3
서귀포시 동지역,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,3
서귀포시 동지역,기타,주차공간 만족도 및 문제해결,,1.9
100만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,19.8
100만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,26.6
100만원 미만,보통,주차공간 만족도 및 문제해결,%,41.4
100만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,8.1
100만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,4.1
100만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.5
100만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,30.2
100만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,20.2
100만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,20.6
100만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,11
100만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,0.7
100만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,6.9
100만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,4.4
100만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.4
100만원 미만,기타,주차공간 만족도 및 문제해결,,4.5
100~200만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,19.8
100~200만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,26.9
100~200만원 미만,보통,주차공간 만족도 및 문제해결,%,32.2
100~200만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,11.4
100~200만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,9.8
100~200만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.35
100~200만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,44.2
100~200만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,29.8
100~200만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,10
100~200만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,6.2
100~200만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,3
100~200만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3
100~200만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.5
100~200만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,0.3
100~200만원 미만,기타,주차공간 만족도 및 문제해결,,-
200~300만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,16.4
200~300만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,29.8
200~300만원 미만,보통,주차공간 만족도 및 문제해결,%,26.3
200~300만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,16.2
200~300만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,11.4
200~300만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.23
200~300만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.5
200~300만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,21.8
200~300만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,18.3
200~300만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,10
200~300만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.9
200~300만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.4
200~300만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.8
200~300만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2
200~300만원 미만,기타,주차공간 만족도 및 문제해결,,0.4
300~400만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,18.2
300~400만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,26.1
