특성별,교통수단별,항목,단위,2017 년,2018 년,2019 년
전체,응답자수,제주여행 교통수단,명,5832,6181,6133
전체,렌터카,제주여행 교통수단,%,65.4,80,86.2
전체,대절택시(가이드동반차량),제주여행 교통수단,%,0.7,,
전체,버스,제주여행 교통수단,%,11.9,4.2,3.2
전체,택시,제주여행 교통수단,%,8.9,4.2,2.5
전체,전세버스(여행사제공),제주여행 교통수단,%,4.9,3.7,3.3
전체,시티투어버스,제주여행 교통수단,%,0.3,0.5,0.4
전체,"자전거, 오토바이",제주여행 교통수단,%,1,0.5,0.5
전체,친구 및 지인차량,제주여행 교통수단,%,,2.9,1.7
전체,기타,제주여행 교통수단,%,6.7,4,2.1
서울시,응답자수,제주여행 교통수단,명,1556,1467,1422
서울시,렌터카,제주여행 교통수단,%,62.2,78.9,86.8
서울시,대절택시(가이드동반차량),제주여행 교통수단,%,0.8,,
서울시,버스,제주여행 교통수단,%,15.9,5.4,3.6
서울시,택시,제주여행 교통수단,%,10.9,6.6,3.7
서울시,전세버스(여행사제공),제주여행 교통수단,%,4.1,2.1,2.3
서울시,시티투어버스,제주여행 교통수단,%,0.4,0.3,0.3
서울시,"자전거, 오토바이",제주여행 교통수단,%,1.1,0.3,0.3
서울시,친구 및 지인차량,제주여행 교통수단,%,,3.3,2.3
서울시,기타,제주여행 교통수단,%,4.6,2.9,0.8
부산시,응답자수,제주여행 교통수단,명,459,724,576
부산시,렌터카,제주여행 교통수단,%,68.5,83.3,88.6
부산시,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
부산시,버스,제주여행 교통수단,%,11.8,4.7,3.3
부산시,택시,제주여행 교통수단,%,6.9,2.1,1.8
부산시,전세버스(여행사제공),제주여행 교통수단,%,3.8,2.6,0.7
부산시,시티투어버스,제주여행 교통수단,%,0.3,0.8,0.6
부산시,"자전거, 오토바이",제주여행 교통수단,%,1.4,0.3,0.3
부산시,친구 및 지인차량,제주여행 교통수단,%,,2.3,2.3
부산시,기타,제주여행 교통수단,%,6.7,3.9,2.5
대구시,응답자수,제주여행 교통수단,명,239,538,369
대구시,렌터카,제주여행 교통수단,%,68.3,82.4,92.6
대구시,대절택시(가이드동반차량),제주여행 교통수단,%,0.1,,
대구시,버스,제주여행 교통수단,%,6.7,2.2,3.2
대구시,택시,제주여행 교통수단,%,5.9,3.6,1.1
대구시,전세버스(여행사제공),제주여행 교통수단,%,9.9,3.9,1.3
대구시,시티투어버스,제주여행 교통수단,%,1.2,0.5,0
대구시,"자전거, 오토바이",제주여행 교통수단,%,1.6,1,0
대구시,친구 및 지인차량,제주여행 교통수단,%,,3.4,0.7
대구시,기타,제주여행 교통수단,%,6.3,3.1,1.1
인천시,응답자수,제주여행 교통수단,명,344,375,390
인천시,렌터카,제주여행 교통수단,%,66.7,83.1,90.3
인천시,대절택시(가이드동반차량),제주여행 교통수단,%,0.3,,
인천시,버스,제주여행 교통수단,%,11.8,4.3,2.4
인천시,택시,제주여행 교통수단,%,11.7,3,1.8
인천시,전세버스(여행사제공),제주여행 교통수단,%,3.5,4.3,2.1
인천시,시티투어버스,제주여행 교통수단,%,0.4,1,0
인천시,"자전거, 오토바이",제주여행 교통수단,%,0.5,0,0.4
인천시,친구 및 지인차량,제주여행 교통수단,%,,2.1,1.5
인천시,기타,제주여행 교통수단,%,5,2.2,1.5
광주시,응답자수,제주여행 교통수단,명,282,215,168
광주시,렌터카,제주여행 교통수단,%,64,72.3,87.9
광주시,대절택시(가이드동반차량),제주여행 교통수단,%,2.4,,
광주시,버스,제주여행 교통수단,%,8.4,5.9,1.4
광주시,택시,제주여행 교통수단,%,10,6.3,2.3
광주시,전세버스(여행사제공),제주여행 교통수단,%,4.3,4.1,1.8
광주시,시티투어버스,제주여행 교통수단,%,0.4,0.5,1.4
광주시,"자전거, 오토바이",제주여행 교통수단,%,0.6,0.9,0.3
광주시,친구 및 지인차량,제주여행 교통수단,%,,4.2,2.1
광주시,기타,제주여행 교통수단,%,9.9,5.8,2.8
대전시,응답자수,제주여행 교통수단,명,144,185,184
대전시,렌터카,제주여행 교통수단,%,67.3,80.5,87.1
대전시,대절택시(가이드동반차량),제주여행 교통수단,%,0.9,,
대전시,버스,제주여행 교통수단,%,8.1,5.3,3.8
대전시,택시,제주여행 교통수단,%,6.8,0.7,1.8
대전시,전세버스(여행사제공),제주여행 교통수단,%,6.1,7.6,4.4
대전시,시티투어버스,제주여행 교통수단,%,0.9,0.7,0
대전시,"자전거, 오토바이",제주여행 교통수단,%,1.4,0,0
대전시,친구 및 지인차량,제주여행 교통수단,%,,1.3,0.6
대전시,기타,제주여행 교통수단,%,8.7,4,2.1
울산시,응답자수,제주여행 교통수단,명,191,187,187
울산시,렌터카,제주여행 교통수단,%,70,84.7,89
울산시,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
울산시,버스,제주여행 교통수단,%,9.9,1.9,1.8
울산시,택시,제주여행 교통수단,%,7.8,1.3,0
울산시,전세버스(여행사제공),제주여행 교통수단,%,4.4,2.5,2.7
울산시,시티투어버스,제주여행 교통수단,%,0,0.7,1.2
울산시,"자전거, 오토바이",제주여행 교통수단,%,0.8,1.1,0.1
울산시,친구 및 지인차량,제주여행 교통수단,%,,3.1,1.3
울산시,기타,제주여행 교통수단,%,6.6,4.8,4
세종시,응답자수,제주여행 교통수단,명,,34,76
세종시,렌터카,제주여행 교통수단,%,,88.9,87.4
세종시,버스,제주여행 교통수단,%,,3.6,6.4
세종시,택시,제주여행 교통수단,%,,0,1.4
세종시,전세버스(여행사제공),제주여행 교통수단,%,,3.7,3.1
세종시,시티투어버스,제주여행 교통수단,%,,0,0
세종시,"자전거, 오토바이",제주여행 교통수단,%,,1.1,0
세종시,친구 및 지인차량,제주여행 교통수단,%,,0,0
세종시,기타,제주여행 교통수단,%,,2.8,1.7
경기도,응답자수,제주여행 교통수단,명,1244,1284,1494
경기도,렌터카,제주여행 교통수단,%,67.4,82.2,86.9
경기도,대절택시(가이드동반차량),제주여행 교통수단,%,0.7,,
경기도,버스,제주여행 교통수단,%,12.1,3.5,3.5
경기도,택시,제주여행 교통수단,%,9.3,4.1,3.1
경기도,전세버스(여행사제공),제주여행 교통수단,%,3,2.8,2.9
경기도,시티투어버스,제주여행 교통수단,%,0.1,0.1,0.5
경기도,"자전거, 오토바이",제주여행 교통수단,%,1.1,0.5,0.3
경기도,친구 및 지인차량,제주여행 교통수단,%,,2.9,1.7
경기도,기타,제주여행 교통수단,%,6.3,4,1.1
강원도,응답자수,제주여행 교통수단,명,166,99,53
강원도,렌터카,제주여행 교통수단,%,58.4,77.6,79.8
강원도,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
강원도,버스,제주여행 교통수단,%,11.3,3.5,4.5
강원도,택시,제주여행 교통수단,%,8.7,1.1,2.2
강원도,전세버스(여행사제공),제주여행 교통수단,%,12.1,6.6,6.1
강원도,시티투어버스,제주여행 교통수단,%,0.7,1.3,0
강원도,"자전거, 오토바이",제주여행 교통수단,%,0.7,0,0
강원도,친구 및 지인차량,제주여행 교통수단,%,,4.2,2.4
강원도,기타,제주여행 교통수단,%,7.4,5.8,4.9
충청도,응답자수,제주여행 교통수단,명,355,262,289
충청도,렌터카,제주여행 교통수단,%,69.4,73,78.3
충청도,대절택시(가이드동반차량),제주여행 교통수단,%,0.1,,
충청도,버스,제주여행 교통수단,%,10,5.5,2.5
충청도,택시,제주여행 교통수단,%,7.6,3.6,0.7
충청도,전세버스(여행사제공),제주여행 교통수단,%,4.2,7.8,12.7
충청도,시티투어버스,제주여행 교통수단,%,0,0.5,0
충청도,"자전거, 오토바이",제주여행 교통수단,%,0.2,0.9,0.2
충청도,친구 및 지인차량,제주여행 교통수단,%,,3.4,0.9
충청도,기타,제주여행 교통수단,%,8.6,5.4,4.7
전라도,응답자수,제주여행 교통수단,명,416,385,553
전라도,렌터카,제주여행 교통수단,%,61.7,74.8,77.7
전라도,대절택시(가이드동반차량),제주여행 교통수단,%,0.9,,
전라도,버스,제주여행 교통수단,%,10.2,3.5,2.8
전라도,택시,제주여행 교통수단,%,6.4,4,2.3
전라도,전세버스(여행사제공),제주여행 교통수단,%,7.6,5.5,5.9
전라도,시티투어버스,제주여행 교통수단,%,0.1,0.7,0.7
전라도,"자전거, 오토바이",제주여행 교통수단,%,0.7,1.6,2.8
전라도,친구 및 지인차량,제주여행 교통수단,%,,2.6,2
전라도,기타,제주여행 교통수단,%,12.4,7.3,5.9
경상도,응답자수,제주여행 교통수단,명,387,416,357
경상도,렌터카,제주여행 교통수단,%,68.5,76.7,84.6
경상도,대절택시(가이드동반차량),제주여행 교통수단,%,0.5,,
경상도,버스,제주여행 교통수단,%,6.6,3,3.2
경상도,택시,제주여행 교통수단,%,5.5,4.6,1.9
경상도,전세버스(여행사제공),제주여행 교통수단,%,9.3,7.1,4.2
경상도,시티투어버스,제주여행 교통수단,%,0.3,0.6,1
경상도,"자전거, 오토바이",제주여행 교통수단,%,1.9,0.5,1
경상도,친구 및 지인차량,제주여행 교통수단,%,,2.5,1
경상도,기타,제주여행 교통수단,%,7.5,5,3.1
기타 지역,응답자수,제주여행 교통수단,명,50,11,16
기타 지역,렌터카,제주여행 교통수단,%,53.4,78.4,83.3
기타 지역,대절택시(가이드동반차량),제주여행 교통수단,%,4.9,,
기타 지역,버스,제주여행 교통수단,%,21.5,11.4,0
기타 지역,택시,제주여행 교통수단,%,9.3,0,7.7
기타 지역,전세버스(여행사제공),제주여행 교통수단,%,2.5,0,7.7
기타 지역,시티투어버스,제주여행 교통수단,%,0,0,0
기타 지역,"자전거, 오토바이",제주여행 교통수단,%,0,0,0
기타 지역,친구 및 지인차량,제주여행 교통수단,%,,10.1,0
기타 지역,기타,제주여행 교통수단,%,8.5,0,1.2
남자,응답자수,제주여행 교통수단,명,2795,2600,2400
남자,렌터카,제주여행 교통수단,%,65.6,76.7,84.7
남자,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
남자,버스,제주여행 교통수단,%,10,3.7,2.9
남자,택시,제주여행 교통수단,%,8.9,4.7,2.9
남자,전세버스(여행사제공),제주여행 교통수단,%,5.3,4.6,3.9
남자,시티투어버스,제주여행 교통수단,%,0.2,0.6,0.3
남자,"자전거, 오토바이",제주여행 교통수단,%,1.5,1.1,1.2
남자,친구 및 지인차량,제주여행 교통수단,%,,3.2,2.1
남자,기타,제주여행 교통수단,%,8,5.3,2.1
여자,응답자수,제주여행 교통수단,명,3037,3581,3733
여자,렌터카,제주여행 교통수단,%,65.3,82.4,87.2
여자,대절택시(가이드동반차량),제주여행 교통수단,%,0.9,,
여자,버스,제주여행 교통수단,%,13.7,4.5,3.4
여자,택시,제주여행 교통수단,%,8.9,3.8,2.3
여자,전세버스(여행사제공),제주여행 교통수단,%,4.6,3,2.9
여자,시티투어버스,제주여행 교통수단,%,0.4,0.4,0.5
여자,"자전거, 오토바이",제주여행 교통수단,%,0.6,0.1,0.1
여자,친구 및 지인차량,제주여행 교통수단,%,,2.7,1.5
여자,기타,제주여행 교통수단,%,5.6,3,2.1
