행정구역(읍면동)별,세대및인구별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
제주시,세대수,읍면동별 세대및 인구,세대,165494,168658,173370,179090,185874,192353,198454,204621
제주시,인구,읍면동별 세대및 인구,명,427593,435413,445457,458325,470778,483325,492401,501791
제주시,남,읍면동별 세대및 인구,,213503,217733,222953,229687,236068,242674,247814,252697
제주시,여,읍면동별 세대및 인구,,214090,217680,222504,228638,234710,240651,244587,249094
제주시,한국인,읍면동별 세대및 인구,,422790,429656,438165,448834,459876,470665,478700,485946
제주시,남,읍면동별 세대및 인구,,210873,214588,219029,224581,230223,235977,240465,243974
제주시,여,읍면동별 세대및 인구,,211917,215068,219136,224253,229653,234688,238235,241972
제주시,외국인,읍면동별 세대및 인구,,4803,5757,7292,9491,10902,12660,13701,15845
제주시,남,읍면동별 세대및 인구,,2630,3145,3924,5106,5845,6697,7349,8723
제주시,여,읍면동별 세대및 인구,,2173,2612,3368,4385,5057,5963,6352,7122
제주시,65세 이상 고령자,읍면동별 세대및 인구,명,47821,50199,52482,54534,56914,59159,61653,63813
한림읍,세대수,읍면동별 세대및 인구,세대,8327,8425,8630,8859,9072,9533,9848,10204
한림읍,인구,읍면동별 세대및 인구,명,19994,20509,21541,22450,22972,23851,24389,25003
한림읍,남,읍면동별 세대및 인구,,10495,10778,11311,11859,12191,12669,12990,13337
한림읍,여,읍면동별 세대및 인구,,9499,9731,10230,10591,10781,11182,11399,11666
한림읍,한국인,읍면동별 세대및 인구,,19376,19444,19579,19643,19827,20461,20867,21309
한림읍,남,읍면동별 세대및 인구,,10004,10041,10101,10154,10275,10588,10810,10990
한림읍,여,읍면동별 세대및 인구,,9372,9403,9478,9489,9552,9873,10057,10319
한림읍,외국인,읍면동별 세대및 인구,,618,1065,1962,2807,3145,3390,3522,3694
한림읍,남,읍면동별 세대및 인구,,491,737,1210,1705,1916,2081,2180,2347
한림읍,여,읍면동별 세대및 인구,,127,328,752,1102,1229,1309,1342,1347
한림읍,65세 이상 고령자,읍면동별 세대및 인구,명,3560,3635,3756,3836,3909,4070,4174,4279
애월읍,세대수,읍면동별 세대및 인구,세대,11649,11868,12147,12342,13018,13667,14692,15563
애월읍,인구,읍면동별 세대및 인구,명,29061,29448,29646,30153,31560,32897,35004,36550
애월읍,남,읍면동별 세대및 인구,,14827,15041,15206,15510,16206,16957,18092,18902
애월읍,여,읍면동별 세대및 인구,,14234,14407,14440,14643,15354,15940,16912,17648
애월읍,한국인,읍면동별 세대및 인구,,28584,28985,29134,29613,30944,32162,34051,35451
애월읍,남,읍면동별 세대및 인구,,14607,14814,14953,15216,15876,16573,17608,18354
애월읍,여,읍면동별 세대및 인구,,13977,14171,14181,14397,15068,15589,16443,17097
애월읍,외국인,읍면동별 세대및 인구,,477,463,512,540,616,735,953,1099
애월읍,남,읍면동별 세대및 인구,,220,227,253,294,330,384,484,548
애월읍,여,읍면동별 세대및 인구,,257,236,259,246,286,351,469,551
애월읍,65세 이상 고령자,읍면동별 세대및 인구,명,4701,4908,5016,5111,5362,5497,5661,5831
구좌읍,세대수,읍면동별 세대및 인구,세대,6189,6260,6374,6660,6889,7215,7466,7670
구좌읍,인구,읍면동별 세대및 인구,명,14810,14688,14569,14984,15175,15533,16045,16283
구좌읍,남,읍면동별 세대및 인구,,7497,7461,7446,7645,7778,7965,8307,8444
구좌읍,여,읍면동별 세대및 인구,,7313,7227,7123,7339,7397,7568,7738,7839
구좌읍,한국인,읍면동별 세대및 인구,,14570,14424,14275,14600,14746,15065,15504,15670
구좌읍,남,읍면동별 세대및 인구,,7348,7290,7249,7390,7481,7642,7946,8026
구좌읍,여,읍면동별 세대및 인구,,7222,7134,7026,7210,7265,7423,7558,7644
구좌읍,외국인,읍면동별 세대및 인구,,240,264,294,384,429,468,541,613
구좌읍,남,읍면동별 세대및 인구,,149,171,197,255,297,323,361,418
구좌읍,여,읍면동별 세대및 인구,,91,93,97,129,132,145,180,195
구좌읍,65세 이상 고령자,읍면동별 세대및 인구,명,3427,3467,3519,3606,3631,3650,3712,3765
조천읍,세대수,읍면동별 세대및 인구,세대,8133,8137,8160,8375,8746,9279,10019,10538
조천읍,인구,읍면동별 세대및 인구,명,21010,20763,20618,20782,21463,22444,23812,24718
조천읍,남,읍면동별 세대및 인구,,10774,10684,10644,10746,11063,11564,12280,12784
조천읍,여,읍면동별 세대및 인구,,10236,10079,9974,10036,10400,10880,11532,11934
조천읍,한국인,읍면동별 세대및 인구,,20752,20528,20352,20446,21065,21991,23299,24106
조천읍,남,읍면동별 세대및 인구,,10645,10555,10490,10545,10829,11309,11998,12431
조천읍,여,읍면동별 세대및 인구,,10107,9973,9862,9901,10236,10682,11301,11675
조천읍,외국인,읍면동별 세대및 인구,,258,235,266,336,398,453,513,612
조천읍,남,읍면동별 세대및 인구,,129,129,154,201,234,255,282,353
조천읍,여,읍면동별 세대및 인구,,129,106,112,135,164,198,231,259
