주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
406-2-000046,고성리 구)보건지소,공영,노외,제주특별자치도 서귀포시 성산읍 고성동서로 65-4,제주특별자치도 서귀포시 성산읍 고성리 1192-2,36,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.450903,126.913981,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000022,고성오일장 옆,공영,노외,제주특별자치도 서귀포시 성산읍 고성오조로 93,제주특별자치도 서귀포시 성산읍 고성리 1188-2,27,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.4517905,126.9131155,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000025,구 오일장 옆,공영,노외,제주특별자치도 서귀포시 남원읍 남원회관로 78,제주특별자치도 서귀포시 남원읍 남원리 83-11,41,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.27891956,126.721262,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000026,민속촌 주차장,공영,노외,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-77,150,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2673,33.32455966,126.8421344,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000027,성읍민속마을,공영,노외,제주특별자치도 서귀포시 표선면 성읍정의현로 29길 33,제주특별자치도 서귀포시 표선면 성읍리 778,87,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2673,33.384967,126.800901,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000031,중앙로터리 공영주차장,공영,노외,제주특별자치도 서귀포시 중앙로79번길 6(서귀동),제주특별자치도 서귀포시 서귀동 298-2,120,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,혼합,30,1000,15,500,,,100000,현금. 신용카드,"전기차, 경차 및 하이브리드 50 감면. 다자녀.장애인 등 1일 1회 3시간 50 감면. 운영시간 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.25152152,126.560439,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000032,정방폭포,공영,노외,제주특별자치도 서귀포시 칠십리로214번길 35-1,제주특별자치도 서귀포시 동홍동 277,62,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3152,33.24460547,126.5732253,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000034,여성회관 북쪽,공영,노외,제주특별자치도 서귀포시 서문로 37,제주특별자치도 서귀포시 서귀동 321-5,28,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.24959927,126.558497,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000035,고성리 회전교차로,공영,노외,제주특별자치도 서귀포시 성산읍 고성오조로 42,제주특별자치도 서귀포시 성산읍 고성리 346-2,77,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.44655575,126.9157493,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000042,쇠소깍,공영,노외,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,54,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.254249,126.622494,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000002,남원읍사무소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 태위로 695,제주특별자치도 서귀포시 남원읍 남원리 205-1,20,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.27989564,126.7206785,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000003,위미출장소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 태위로 105,제주특별자치도 서귀포시 남원읍 위미리 2892,15,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2492,33.275001,126.6585877,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000005,성산체육관,공영,노외,제주특별자치도 서귀포시 성산읍 일주동로 4024,제주특별자치도 서귀포시 성산읍 오조리 1365-1,72,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.4667584,126.904899,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000006,군민체육관,공영,노외,제주특별자치도 서귀포시 남원읍 태위로 551-27,제주특별자치도 서귀포시 남원읍 남원리 2337-1,52,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.27788286,126.7034071,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000008,성산일출봉 주차장,공영,노외,제주특별자치도 서귀포시 성산읍 일출로 284-6,제주특별자치도 서귀포시 성산읍 성산리 114-3,126,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-710-7925,33.462602,126.935333,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000011,돔베낭골,공영,노외,제주특별자치도 서귀포시 태평로92번길 49,제주특별자치도 서귀포시 호근동 1619,58,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.24016844,126.531879,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000013,문부공원,공영,노외,제주특별자치도 서귀포시 태평로537번길 40-9,제주특별자치도 서귀포시 동홍동 646-1,35,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.25398814,126.5706943,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000014,용머리 주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,제주특별자치도 서귀포시 안덕면 사계리 118,58,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.23367942,126.3113692,2020-06-30,6520000,제주특별자치도 서귀포시
406-2-000015,월드컵경기장,공영,노외,제주특별자치도 서귀포시 월드컵로 31,제주특별자치도 서귀포시 법환동 914,723,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3602,33.24706692,126.507363,2020-06-30,6520000,제주특별자치도 서귀포시
