주차장종류별,행정구역(시)별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
합계,합계,주차장수[개소],개소,,28542,29085,31205,33573,34390,35342,37195
합계,합계,면수[면],면,,221928,229088,247299,268751,298548,327125,340013
합계,제주시,주차장수[개소],개소,,,,,,,24261,25076
합계,제주시,면수[면],면,,,,,,,225422,234475
합계,서귀포시,주차장수[개소],개소,,,,,,,11081,12119
합계,서귀포시,면수[면],면,,,,,,,101703,105538
유료,합계,주차장수[개소],개소,,6,6,5,5,5,6,6
유료,합계,면수[면],면,,337,337,253,249,249,265,235
유료,제주시,주차장수[개소],개소,,,,,,,6,6
유료,제주시,면수[면],면,,,,,,,265,235
유료,서귀포시,주차장수[개소],개소,,,,,,,-,
유료,서귀포시,면수[면],면,,,,,,,-,
무료,합계,주차장수[개소],개소,,695,695,695,718,718,713,716
무료,합계,면수[면],면,,16894,16894,16891,17862,17862,16194,16323
무료,제주시,주차장수[개소],개소,,,,,,,613,614
무료,제주시,면수[면],면,,,,,,,13826,13906
무료,서귀포시,주차장수[개소],개소,,,,,,,100,102
무료,서귀포시,면수[면],면,,,,,,,2368,2417
공영,합계,주차장수[개소],개소,,948,951,962,1012,1030,1112,901
공영,합계,면수[면],면,,32293,32303,32546,35991,36901,38398,31493
공영,제주시,주차장수[개소],개소,,,,,,,739,820
공영,제주시,면수[면],면,,,,,,,22303,24307
공영,서귀포시,주차장수[개소],개소,,,,,,,373,81
공영,서귀포시,면수[면],면,,,,,,,16095,7186
민영,합계,주차장수[개소],개소,,58,59,65,100,92,93,83
민영,합계,면수[면],면,,1984,1999,2206,3224,2939,2993,2804
민영,제주시,주차장수[개소],개소,,,,,,,72,74
민영,제주시,면수[면],면,,,,,,,2416,2453
민영,서귀포시,주차장수[개소],개소,,,,,,,21,9
민영,서귀포시,면수[면],면,,,,,,,577,351
부설,합계,주차장수[개소],개소,,26835,27374,29478,31738,32545,33418,35489
부설,합계,면수[면],면,,170420,177555,195403,211425,240597,269275,289158
부설,제주시,주차장수[개소],개소,,,,,,,22831,23562
부설,제주시,면수[면],면,,,,,,,186612,193574
부설,서귀포시,주차장수[개소],개소,,,,,,,10587,11927
부설,서귀포시,면수[면],면,,,,,,,82663,95584
영업용차고지,합계,주차장수[개소],개소,9408,9408,9464,9045,8973,9586,9634,
영업용차고지,합계,면수[면],면,26822,26822,26886,24190,23578,31835,30964,
영업용차고지,제주시,주차장수[개소],개소,7660,7660,7660,7660,7660,8259,8342,
영업용차고지,제주시,면수[면],면,19673,19673,19673,19673,19673,27923,28822,
영업용차고지,서귀포시,주차장수[개소],개소,1748,1748,1804,1385,1313,1327,1292,
영업용차고지,서귀포시,면수[면],면,7149,7149,7213,4517,3905,3912,2142,
