행정구역(시)별,토지지목별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
합계,계,토지지목별 현황[㎡],㎡,1849179961,1849295824,1849262778,1849045511,1849134048,1849148846,1850159946,1850159471
합계,전,토지지목별 현황[㎡],㎡,366939291.5,366423635.5,366365794,364796787.3,363426719.3,361148831.4,358798246.1,357533597
합계,답,토지지목별 현황[㎡],㎡,7187231,7109216,7011139.5,6898333.5,6796542.5,6715444.6,6581531.6,6510326.6
합계,과수원,토지지목별 현황[㎡],㎡,165791672,165839392,165464811,164346149.1,163661412.1,162597764.4,161929517.7,162118790.6
합계,목장용지,토지지목별 현황[㎡],㎡,163453623,162387876,160749786,157653907,156786723,156055266.8,154909511.5,153704091.3
합계,임야,토지지목별 현황[㎡],㎡,882704468,879773288,878367313,876191364.5,873850917.5,872381012.3,870001466.7,867888566.9
합계,광천지,토지지목별 현황[㎡],㎡,24,24,24,24,24,24,24,24
합계,대지,토지지목별 현황[㎡],㎡,57268758.4,58510268.4,59848040.8,63007001.2,65086766.1,68144761.8,72001246.4,74547518
합계,공장용지,토지지목별 현황[㎡],㎡,3056704.1,3097425.1,3249056.1,3313461.1,3391853.3,3410988.9,3477386.9,3516260.6
합계,학교용지,토지지목별 현황[㎡],㎡,6044694.7,6046845.7,6024957.7,6599929.9,6588413.9,6585007.9,6815544.3,6824004.9
합계,주차장,토지지목별 현황[㎡],㎡,717048.9,742266.9,824346.2,977953.1,1116559.3,1239879,1418784.4,1515118
합계,주유소용지,토지지목별 현황[㎡],㎡,369476.4,388607.4,387038.9,389740,395053.8,395192.8,397023.7,398680.3
합계,창고용지,토지지목별 현황[㎡],㎡,2091262.4,2224378.4,2396312.4,2584872.4,2746046.4,2934059.5,3236600.1,3527386
합계,도로,토지지목별 현황[㎡],㎡,81375106.3,82299626.7,83241184.3,84615118.8,86335562.7,87020164.3,87953040.3,88374850.2
합계,하천,토지지목별 현황[㎡],㎡,24059586.3,24181477.3,24205237.3,24263780.3,24288085.3,24376579.3,24381340.3,24473332.7
합계,제방,토지지목별 현황[㎡],㎡,315335.9,327610.9,327545.9,325448.9,330829.9,330829.9,406763.8,407469
합계,구거,토지지목별 현황[㎡],㎡,3373277.4,3409393.4,3450289.4,3479319.4,3530712.4,3655337.9,3669964.4,3749635.8
합계,유지,토지지목별 현황[㎡],㎡,2716443.3,2769776.3,2822904.3,2864815,2976836,3451851,3510411.5,3693571.5
합계,양어장,토지지목별 현황[㎡],㎡,2081787,2187858,2324511,2419877,2474864,2493215,2547973,2554294
합계,수도용지,토지지목별 현황[㎡],㎡,964240.4,1142598.4,1301232.4,1299174.4,1301500.4,1303473.4,1303862.4,1315480
합계,공원,토지지목별 현황[㎡],㎡,1800040.1,1805593.3,1807506.9,2962290.2,3162500.5,3430858.7,3878794.3,3885213.3
합계,체육용지,토지지목별 현황[㎡],㎡,30994553,31915595.5,31924483.5,31950410.5,31957262.5,32172883.5,32241652.8,32299578
