장   소   명,X,Y,평균 교통량
세집매삼거리,127.1493099,36.86605652,3899.152691
북부고가교삼거리,127.140176,36.83875338,5646.388035
삼성전관삼거리,127.1237279,36.83907441,5197.743525
농공단지삼거리,127.107861,36.823152,3119.086843
운동장사거리,127.1160119,36.82228554,2424.508606
대전한방병원앞,127.1277812,36.82520388,3059.681086
극동아파트앞사거리,127.1334964,36.82963105,1679.987928
롯데마트사거리,127.1425727,36.82538531,3027.311135
인쇄창사거리,127.146554,36.82531559,3092.14303
봉명사거리,127.1396707,36.80501646,1058.820911
봉정사거리(서초교입구),127.1436676,36.82109471,685.0239341
부성초윗사거리,127.138582,36.83764509,1753.264062
백석사거리,127.1286021,36.82014237,2205.856306
6단지뒷길,127.1318111,36.82216455,1873.731357
봉정사거리(뚜주루),127.1400228,36.81866246,1695.523531
신성2교길,127.1493161,36.818525,1738.937544
개목입구삼거리,127.1311532,36.81754078,3116.177174
봉명청솔앞,127.1335105,36.81195128,2702.002864
컨밴션앞단일로(정진학원),127.1275688,36.80261869,3376.935422
봉서사거리,127.1327869,36.80568757,2626.860242
쌍용삼거리(충무병원맞은편),127.1335043,36.79800929,3492.690809
삼일아파트 사거리,127.1202319,36.79145974,2974.986392
신방삼거리,127.116234,36.785497,6930.432425
한라아파트입구삼거리(초원아파트),127.1313541,36.78560516,4979.984017
봉명동사무소앞,127.1404697,36.80811174,1177.591773
삼용사거리(SK기지국),127.1665613,36.78678298,1136.94943
청삼교고가위,127.170175,36.78151896,3196.222012
천안여고(현대주유소),127.1649382,36.77800118,2275.865814
단대입구 삼거리,127.168387,36.82853066,3484.782664
공단사거리(번영로가구단지앞),127.1231254,36.84926113,2629.225946
두정중(세블일레븐),127.1380777,36.82900225,2162.109954
신청사정문삼거리,127.1092306,36.81427569,4953.578066
불당1교삼거리,127.1105356,36.80207344,2962.563182
쌍용초교(가람동물병원),127.1202472,36.80122779,3661.891346
쌍용사거리(남해횟집),127.1269322,36.80251123,3746.364429
충무로고가차도,127.1416843,36.79826656,3274.014945
원성2동(교보사거리),127.1592707,36.80215513,1882.408882
중앙시장(종합식품),127.1533659,36.80130864,1185.422715
코매드앞,127.152524,36.80845013,752.1689384
남부대로 SK LPG앞,127.152493,36.796731,5358.618128
대흥동(중앙시장입구),127.1480448,36.80089006,433.2537279
다가동(개미알뜰매장),127.1415665,36.80245507,1051.840797
다가동(스타오피스텔앞),127.1342831,36.79997284,1119.63247
천안세무소(삼진기업),127.147271,36.8063914,1002.46019
대흥동(파머스농협),127.1490889,36.81233647,787.790366
북일고(신안전기앞),127.1600398,36.8292847,378.1072426
쌍용고가단일로,127.1287216,36.79239162,3628.324761
대전지방법원육교밑,127.1584874,36.81357505,1605.679519
충남학생회관 맞은편,127.1588246,36.80973227,1356.46056
운동장 보조경기장,127.1173214,36.81955209,2023.975596
시청사윗길,127.1152213,36.81231283,1750.538154
월봉초교뒷길,127.1149463,36.79622645,745.7166672
쌍용4택지 사거리,127.117371,36.79035964,626.3017998
펜타포트(상행)-미개통,127.1003914,36.79794453,285.6738766
펜타포트(하행)-미개통,127.1003914,36.79794453,518.7384657
천안아산역(상행),127.0989407,36.79553437,448.2857419
천안아산역(하행),127.0989407,36.79553437,395.8917111
월봉중학교(상행),127.110287,36.801992,644.144886
월봉중학교(상행),127.1106841,36.79936997,366.2153596
월봉중학교(하행),127.1111419,36.79984893,532.54747
LH천년나무 7단지(상행),127.109881,36.816669,215.4868227
LH천년나무 7단지(하행),127.109881,36.816669,203.7883492
불당호반베르디움509동(상행),127.106675,36.805761,126.2911188
불당호반베르디움509동(하행),127.106675,36.805761,120.3475354
불당고등학교(하행),127.10127,36.806769,274.2009114
불당고등학교(상행),127.10127,36.806769,242.2511619
아름초등학교(상행),127.100463,36.813129,179.3677914
아름초등학교(하행),127.100463,36.813129,214.4003988
불당우미린2차(상행),127.108848,36.813628,226.5056651
불당우미린2차(하행),127.108848,36.813628,254.3669845
불당호반베르디움504동(상행),127.10502,36.806328,257.4171533
불당호반베르디움504동(하행),127.10502,36.806328,285.5540845
불당리더힐스(상행),127.101925,36.822924,254.6304409
불당리더힐스(하행),127.101925,36.822924,296.0884096
구룡천교(상행),127.1281761,36.77703001,602.6335064
불당아이파크103동 앞(상행),127.1078511,36.80876215,1319.484934
삼성SDI 앞(하행),127.1149221,36.83101293,1285.216477
청당육교앞(상행),127.1582099,36.78111015,1202.761299
