address,X,Y
천안시 천안역~온양나드리,127.146261,36.806714
천안시 천안장례식장~신정기화물,127.192949,36.896808
천안시 충무사거리~천안대로,127.145851,36.798312
천안시 성정동 주공5단지앞 도로,127.138801,36.814712
천안시 천지목욕탕~에덴주유소,127.158781,36.80367
천안시 오룡경기장 앞 성황로,127.162948,36.811599
천안시 오룡경기장 주변,127.162218,36.812853
천안시 성환읍 시범가로,127.127592,36.920483
천안시 일봉주민센터~서부파출소,127.141985,36.801314
천안시 쌍용대로 6단지앞 도로,127.136953,36.82403
천안시 구)소방서~구)청과시장,127.149122,36.869036
천안시 봉명교~서부파출소,127.141888,36.807615
천안시 동남구 광덕면·리 403,127.053114,36.674465
천안시 동남구 광덕면·리 560-2,127.045702,36.672505
천안시 동남구 구성동 531,127.1570898,36.79650986
천안시 동남구 대흥로 205,127.1468454,36.80651448
천안시 서북구 두정동 91-1,127.1503692,36.83201867
천안시 서북구 두정동 1366,127.1390632,36.83094029
천안시 동남구 목천면 운전리 503,127.2273536,36.76214317
천안시 동남구 목천면 서흥리 124-1,127.2384832,36.80605244
천안시 동남구 병천면·리 211-1,127.298247,36.759823
천안시 동남구 봉명동 10-2,127.1410309,36.80367761
천안시 동남구 봉명동 10-9,127.1414756,36.80419973
천안시 서북구 검은들1길 15,127.1095401,36.81121884
천안시 서북구 불당동 735,127.1107132,36.81025897
천안시 서북구 불당동 910,127.1080927,36.80521516
천안시 서북구 불당동 970,127.1085299,36.80376578
천안시 서북구 서부역9로 38,127.144879,36.80965997
천안시 서북구 성거읍 천흥리 430-5,127.2013816,36.87255414
천안시 서북구 성성동 511-9,127.1167182,36.83860571
천안시 서북구 성정동 175-1,127.145683,36.81286694
천안시 서북구 성정동 438-3,127.1353315,36.82521715
천안시 서북구 성환읍·리 357-10,127.131032,36.916377
천안시 동남구 신방동 901,127.1296525,36.79163367
천안시 동남구 터미널8길 7,127.1579852,36.82226241
천안시 동남구 신부동 77-26,127.1601425,36.81400176
천안시 동남구 신부동 331-43,127.1538164,36.82036474
천안시 서북구 쌍용동 423-12,127.1201495,36.79320798
천안시 서북구 미라3길 16,127.1308965,36.80108678
천안시 서북구 쌍용동 655,127.1225368,36.79796343
천안시 서북구 쌍용동 1299,127.1256826,36.80034989
천안시 서북구 쌍용동 2074,127.1142881,36.78763406
천안시 서북구 쌍용동 2114,127.118127,36.806962
천안시 동남구 안서동 526-39,127.173317,36.83755267
천안시 동남구 청당동 478,127.1564901,36.78592798
천안시 동남구 청수동 226-6,127.1512012,36.79228587
천안시 문화동 39-1,127.1499569,36.81146671
천안시 문화동 39-4,127.1504763,36.81117049
천안시 북면 은지리 101,127.2687129,36.77789854
천안시 북면 은지리 45-1,127.2719729,36.77860121
천안시 사직동 263 외1,127.1486397,36.80028016
천안시 삼룡동 117-1(118-11앞),127.1699008,36.78312694
천안시 성성동 511-9,127.1167182,36.83860571
천안시 성정동 736-7,127.1392993,36.81276645
천안시 쌍용동 1568,127.1156268,36.79280156
천안시 영성동 20-2,127.1508836,36.80397911
천안시 오룡동 189-1,127.1493782,36.80431982
천안시 청당동 511,127.1536242,36.78251469
천안시 청당동 567,127.1573935,36.78507974
천안시 직산읍 군서리 157-21,127.1612388,36.90272288
천안시 성정동 602-10,127.1424154,36.81306914
천안시 풍세면 풍서리 676-63,127.1194597,36.72410731
천안시 문화동 56-3,127.1508324,36.80987964
천안시 성거읍 저리 54-3,127.2014212,36.87395618
천안시 불당동 686번지,127.1111188,36.81177967
천안시 쌍용동 384-14,127.13031,36.79882023
천안시 두정동 1323,127.1414032,36.83306775
천안시 성정2동635-11,127.1456105,36.82431111
천안시 직산읍 모시리 산58-2,127.118442,36.868676
천안시 두정동 1397,127.1418061,36.83027023
"천안시 성정동 1529, 1531",127.138767,36.82658
천안시 불당동 1296,127.1036573,36.80018009
천안시 성정동 1534,127.1381085,36.82616914
"천안시 두정동 1494, 1495",127.144147,36.832882
천안시 쌍용동 446-2,127.1220052,36.79341155
천안시 성정동 1435,127.1417352,36.8258621
천안시 불당동 1853,127.102998,36.80317236
천안시 불당동  1632,127.1065945,36.81090793
천안시 쌍용동 368-10,127.1319792,36.79994298
천안시 불당동 1615,127.1071527,36.8125907
천안시 두정동 1390,127.1410801,36.83048375
천안시 천안시 서북구 공원로 205,127.1023213,36.79994696
천안시 두정동 1399,127.1422054,36.83042835
천안시 불당동 1636,127.1074781,36.8112856
천안시 대흥동 57-8,127.1480056,36.81081675
천안시 대흥동 30-7,127.1481468,36.80961629
천안시 대흥동 57-72,127.1475062,36.80986219
천안시 대흥동 246-3,127.1465844,36.80365287
천안시 성황동 11-14,127.1505637,36.81686899
천안시 성황동 12-78,127.150259,36.81696309
천안시 성황동 59-1,127.1484848,36.81286347
천안시 성황동 76-1,127.1493135,36.81256687
천안시 사직동 212-8,127.1483547,36.80122489
천안시 오룡동 203-1,127.1482804,36.80452305
천안시 원성동 594-2,127.1556034,36.79952153
천안시 봉명동 23-20,127.135371,36.802615
천안시 봉명동 361-,127.1340399,36.81475854
천안시 신방동 72-27,127.1262198,36.78907099
천안시 신부동 75-1,127.1590692,36.81526115
천안시 신부동 97-3,127.1578895,36.81929249
천안시 신부동 354-1,127.1567079,36.82028527
천안시 신부동 363-1,127.1546035,36.81938691
천안시 신부동 363-11,127.1538143,36.81933387
천안시 신부동 372-9,127.1545271,36.81708017
천안시 신부동 458-14,127.1556263,36.81747163
천안시 신부동 473-2,127.1587319,36.81692685
천안시 신부동 470-1,127.1590928,36.81801491
천안시 안서동 16-1,127.174278,36.843271
천안시 안서동 29,127.1959192,36.84870208
천안시 목천읍 남화리 230,127.222388,36.782636
천안시 광덕면 광덕리 647-11,127.0429035,36.67303672
천안시 광덕면 광덕리 671,127.0403796,36.67282133
천안시 광덕면 광덕리 677-1,127.0383352,36.6737736
천안시 신부동 454-4,127.1547316,36.81844239
천안시 문화동 39-1,127.1499569,36.81146671
천안시 대흥동 141,127.1468498,36.80650727
천안시 문화동 58,127.1502274,36.80997413
천안시 쌍용동3 68-10,127.131859,36.800098
천안시 신부동 273-3,127.1616915,36.83005742
천안시 용곡동 100-4,127.1428799,36.78320212
천안시 수신면 신풍리 564,127.2677812,36.73932926
천안시 구성동 460-3,127.1627513,36.79485862
천안시 성남면 용원리 543,127.2073856,36.75002898
천안시 광덕면 대덕리 379,127.0999597,36.69322025
천안시 목천읍 운전리 73-1,127.2513182,36.76131279
천안시 신부동 469-2,127.1595776,36.81830622
