"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
1,"옥정호물안개길 관리에 아쉬움이 많습니다.","임실군으로 귀농과 귀촌을 계획하고 있는 완주군민입니다. 2018년 2월에 관촌면 덕천리에 농지를 구입하여 주거지인 완주군 상관면에서 주말에 농사를 ,"2018-05-11",,,"군수실","처리완료","부안읍"
2,"버스시간","아니 버스기사님 왜 그런거죠? 28일 기안아파트 정류장 1시10분 65번기사님 버스정류장에 서지도 않고 그냥 쌩 지나쳐가버리더라고요 심지어 저 혼자만 기달린것도 아니고 저포함 4명이  버스 기달리고 있었습니다. 진심 화가 나더라고요 아니 이 버스 못탄 시민들의 어떻하라는거죠? 다른 한 분은 그냥 택시타고 가더군요 전 택시비도 없어서 그냥 다음버스 기달렸습니다. 이 버스 놓치므로써 전 도서관 자리 맡아놨던 시간초과되어 좋은 자리 놓치고 말았습니다. 하루를 버렸죠. 그 기사 아저씨 때문에 너무 화가납니다,","2017-11-28","2017-11-28","2017-12-04","교통행정과","처리완료","변산면"
3,"산돌마을 내에 태양광 설치를 적극 반대","<> 트레일러 불법 주차로 교통혼잡 및 이동중에 너무 위험함 (1/2) A : 2017.10.07 13:15:31 (2/2) A : 2017.10.07 13:15:39 A :  : I :  .[ (02-2195-1129~30)]","2017-12-04",,"2017-12-12","미래창조경제과","처리완료","하서면"
4,"택시 할증 관련","올해 귀농한 청년창업농 입니다.하천이 범량 역류로 배수로 밀고들어오니 답이 없네요귀농자금대출받아 하우스 짖고. 첫농사 준비중인데 시작도 전에 벌써 하우스 침수가 두번입니다.오늘밤 비가 오면 또 침수되겠죠.무릎까지 빗물이 들어와 딸기를 9월 10일 심어야하는데침수로인해 작물을 언제 심을수있을지도 모르겠네요.지자체도,재해보험도 작물이 없다고 그 어떤보상도.조취도 복구작업도 받을수가없습니다.자부담들여서라도 복구.보강공사를 하고싶어도 면사무소에서도 재해등록이 안되니 재해복구 정책자금 대출도 받을수없어서 복구보강공사를 할 돈도없습니다.이대로 침수당하고, 작물은 심지도 못하고 그냥 죽어야 하는건가요? 집사람은 울고불고, 저도 치져갑니다.오늘밤 피난가고싶지만 하우스를 떠나면 피난이 아닌 목매러 갈듯해 참고 있습니다.시설하우스가 많은 지역도 아니고 아는 사람이 있는것도 아니다보니 이렇게 침수가 되어 피해를 입어도 관공서 연락하는게 다인데. . .  그러면 돌아오는건 그저 알았다뿐입니다.저같은 사람에게도 관심을 가져주세요.도와주세요. 아니 제발 목숨좀 살려주세요.배수로 및 하천 확장 보강.공사도 해주시고지금 당장 작물이 없어도 재해신청 서류에 이름이라도 올리게해주세요. 복구할수있게 대출이라도 받을수 있게 좀해주세요제발 목숨한번 살려주세요.저 믿고 귀농한 제 와이프 이런일로 눈물 흘리는 모습 보면 가슴이 아파 죽을것만 같습니다.부탁입니다. 제가 길을 좀 열어주세요","2018-06-09","2018-06-09","2018-06-11","교통행정과","처리완료","주산면"
5,"민원서","<불법주정차> 커브길에 불법주차로인하여 사고밑 위험.불편을격고있습니다 항상주차가되어있는데 빠른시일내로 처리해주세요[  : 변산반도국립공원 탐방안내소옆 ] (1/2) A : 2018.05.11 17:56:36 (2/2) A : 2018.05.11 17:57:15 A :  : I :  .[  : 1522-0660 ()]","2018-05-21",,"2018-05-30","기획감사실","처리완료","부안읍"
6,"오산면 군익로 익산 더샵아파트 입구 1","전라북도 부안군 부안읍 봉덕리 875주공1차 옆길이 너무 경사져 차다니기에 위험해요","2016-02-29","2016-02-29","2016-03-09","도로관리과","처리완료","강변로"
7,"버스기사님","오늘 오후 10시경 영등동 육교옆 버스정류장에서 101번 버스를 탔습니다. 그런데 기사님이 지나가려고 그냥하시다가 저를 발견하고 멈춰섰습니다. 애당초 정류장에 정차를 하지 않은것도 이해가 가지 않았지만, 탑승후 기사님이 저에게 """"""""손안들면 그냥 간다."""""""" 라고 말씀 하셨습니다. 발이 다친 상태라 오는것을 보고 서있을수 없었고 정차후 일어나서 타려고 기다리고 있었는데 그런 말을 들으니 기분이 많이 안좋았습니다.차량번호 2040 101번 버스 운행하시던 조재균 기사님께 딩부에 말씀 부탁드립니다.","2017-11-08","2017-11-08","2017-11-14","교통행정과","처리완료","백산면"
8,"주택붕괴위험","시정을 위해 수고하시는 시장님과 시청 직원 분들께 감사드립니다붕괴위험장소    익산시 현영동 405-1저는 익산시 현영동 405번지에서 유통업을 하고있습니다옆집인 405-1번지의 2층주택이 작년부터 붕괴가 시작되어현재는 비바람이 부는 날에는 저희 사무실인 405번지로중량물이 날아오는 등 피해가 발생하고 있습니다405-1의 소유주도 알지 못하고 특히 2층집이어서 옆으로 전도될 시에는대형 사고가 발생할수 있어서 이렇게 글을 올리며 부탁드립니다곧 장마철이 시작되는데 제 생생각에는 올해 무너질거 같습니다바쁘시지겠지만 선의의 피해자가 발생하지 않게 처리 부탁드립니다감사합니다","2018-03-12","2018-03-12","2018-03-13","주택과","처리완료","변산면"
9,"인도가 훼손되었습니다.",": 전라북도 부안군 동진면 장등리 375-2가로등 미점등-------------------------------------------------------------------------------------------------------------------------○ .","2018-03-23",,"2018-03-30","푸른도시과","처리완료","부안읍"
10,"[생활불편신고]환경오염행위","건축물 관리대장 말소 요청*스캔 참고","2018-08-05",,"2018-08-16","친환경축산과","처리완료","백산면"
