Unnamed: 0,pt_month,biz_nm,base_year_month,age,user_cnt,use_cnt,use_amt,pt_year
41,2,건강보조식품 소매업,247212750,48750.0,5485,5716,1527309892,2472103
42,2,골프장 운영업,208656668,44050.0,50916,54567,8466213901,2086546
43,2,과실 및 채소 소매업,1117378274,222710.0,94726,103447,9526419182,11173672
44,2,관광 민예품 및 선물용품 소매업,544269194,101520.0,51679,55596,1852725724,5442638
45,2,그외 기타 분류안된 오락관련 서비스업,23408832,4000.0,416,425,21947000,234086
46,2,그외 기타 스포츠시설 운영업,88593278,16690.0,2508,3067,138682700,885924
47,2,그외 기타 종합 소매업,235304832,43960.0,116590,136302,12924794710,2353025
48,2,기타 갬블링 및 베팅업,1412414,0.0,56,66,279400000,14124
49,2,기타 대형 종합 소매업,200189684,36870.0,343237,392547,21479105040,2001877
50,2,기타 수상오락 서비스업,9689296,1460.0,84,85,8620151,96892
51,2,기타 외국식 음식점업,718028416,142070.0,60607,62818,2466977828,7180213
52,2,기타 주점업,404815712,82320.0,24911,26622,5127917634,4048117
53,2,기타음식료품위주종합소매업,616105806,125700.0,243802,275361,12102871569,6160997
54,2,내항 여객 운송업,54086036,10820.0,21164,21873,675483700,540855
55,2,마사지업,30876306,5740.0,343,365,45858010,308760
56,2,면세점,107560866,19480.0,249256,379770,26163098740,1075598
57,2,버스 운송업,605306,40.0,13,20,26894000,6053
58,2,비알콜 음료점업,1117197772,210820.0,302520,327055,3478796338,11171867
59,2,빵 및 과자류 소매업,1134951148,219330.0,340313,362226,5610708401,11349399
60,2,서양식 음식점업,1342428004,253320.0,358191,387482,9543241216,13424147
61,2,수산물 소매업,799551824,160060.0,71216,78175,7482627467,7995439
62,2,슈퍼마켓,1484075208,284260.0,1207763,1395193,42079887420,14840605
63,2,스포츠 및 레크레이션 용품 임대업,686138400,131320.0,72989,79359,9256561659,6861316
64,2,여관업,679475534,128610.0,96460,108093,12063865041,6794688
65,2,여행사업,146308550,25130.0,7700,8029,1267788931,1463071
66,2,욕탕업,537823230,107780.0,39749,42600,902412066,5378179
67,2,육류 소매업,784607976,158930.0,74602,79597,7057435605,7846002
68,2,일반유흥 주점업,386254328,74580.0,46987,51493,10779526058,3862505
69,2,일식 음식점업,955949174,189030.0,116317,118733,9026296524,9559397
70,2,자동차 임대업,216940450,40950.0,49065,49676,3739338913,2169383
71,2,전시 및 행사 대행업,479895656,91040.0,92342,102631,3130100530,4798909
72,2,정기 항공 운송업,29463292,5400.0,86488,87407,14510556394,294630
73,2,중식 음식점업,1053824644,206520.0,120370,125017,3911230071,10538142
74,2,차량용 가스 충전업,587450622,123140.0,47116,48723,3201481433,5874448
75,2,차량용 주유소 운영업,1272764914,258790.0,697218,730200,43885697673,12727523
76,2,체인화 편의점,1770038342,330660.0,2104298,2370794,20134631625,17700208
77,2,택시 운송업,403804,40.0,3,3,162200,4038
78,2,"피자, 햄버거, 샌드위치 및 유사 음식점업",927496892,172880.0,290692,310075,4223956955,9274877
79,2,한식 음식점업,1834605182,347030.0,2089235,2216295,95393168173,18345870
80,2,호텔업,223603216,42460.0,41376,47400,15023136772,2236010
81,2,화장품 및 방향제 소매업,536388216,101590.0,60790,67294,2984471836,5363829
82,2,휴양콘도 운영업,222193302,43800.0,37046,43629,4653660782,2221911
