,pt_month,biz_nm,base_year_month,age,user_cnt,use_cnt,use_amt,pt_year
0,1,건강보조식품 소매업,250841343,50480.0,5637,5929,1541657006,2508401
1,1,골프장 운영업,202197402,43160.0,51901,56191,8442569972,2021964
2,1,과실 및 채소 소매업,1157134834,231290.0,110825,120605,10500189551,11571291
3,1,관광 민예품 및 선물용품 소매업,557790164,105110.0,55875,60275,2148348420,5577874
4,1,그외 기타 분류안된 오락관련 서비스업,20380801,3400.0,364,375,19299500,203807
5,1,그외 기타 스포츠시설 운영업,91415753,17520.0,2775,3268,151431100,914153
6,1,그외 기타 종합 소매업,246195320,46680.0,132590,158267,13748612980,2461941
7,1,기타 갬블링 및 베팅업,1412807,0.0,68,74,288147000,14128
8,1,기타 대형 종합 소매업,199582789,36620.0,375648,433819,24133219517,1995818
9,1,기타 수상오락 서비스업,10295051,1590.0,96,101,10520000,102950
10,1,기타 외국식 음식점업,736992652,146870.0,72389,75442,2802008566,7369890
11,1,기타 주점업,420755185,85190.0,28389,30359,5801164973,4207531
12,1,기타음식료품위주종합소매업,619730171,126990.0,271548,310333,12496816517,6197271
13,1,내항 여객 운송업,52066158,10520.0,21311,22126,716239250,520659
14,1,마사지업,37130984,6500.0,388,407,51768110,371308
15,1,면세점,108368237,19820.0,267223,407260,28276154728,1083677
16,1,버스 운송업,605203,50.0,5,5,9090000,6052
17,1,비알콜 음료점업,1120014850,212170.0,322483,351394,3710241374,11200093
18,1,빵 및 과자류 소매업,1153507616,223710.0,377516,403140,5959962212,11535019
19,1,서양식 음식점업,1343228256,255860.0,386682,419542,10317005797,13432216
20,1,수산물 소매업,822953778,165790.0,83353,91218,8882448659,8229497
21,1,슈퍼마켓,1493343900,287180.0,1343942,1578225,45186116198,14933365
22,1,스포츠 및 레크레이션 용품 임대업,715195344,140210.0,79640,86636,10442343312,7151918
23,1,여관업,694405141,133390.0,111429,125245,13254031722,6944017
24,1,여행사업,151353450,26820.0,7914,8285,1344538332,1513527
25,1,욕탕업,551542133,109730.0,46689,50200,1162414344,5515394
26,1,육류 소매업,808815808,165260.0,86727,93204,6965602036,8088118
27,1,일반유흥 주점업,402795296,78810.0,53918,59281,12692577154,4027933
28,1,일식 음식점업,961601165,191330.0,126350,129203,9845055567,9615964
29,1,자동차 임대업,223800509,42480.0,56144,56817,4291085576,2237994
30,1,전시 및 행사 대행업,485338505,92510.0,103929,115413,3644902851,4853361
31,1,정기 항공 운송업,30673652,5720.0,95654,96668,17313486364,306735
32,1,중식 음식점업,1078038742,212760.0,135404,141537,4335477926,10780334
33,1,차량용 가스 충전업,607427110,127090.0,53842,55921,3271738765,6074241
34,1,차량용 주유소 운영업,1282645756,260420.0,773134,812977,48249521386,12826394
35,1,체인화 편의점,1763574239,330370.0,2271654,2592449,21891002092,17635655
36,1,"피자, 햄버거, 샌드위치 및 유사 음식점업",939193754,175060.0,317641,340009,4708040168,9391891
37,1,한식 음식점업,1844075038,350440.0,2354242,2510236,107773748222,18440659
38,1,호텔업,225011415,43910.0,45141,51072,14270533111,2250103
39,1,화장품 및 방향제 소매업,556562258,105790.0,62656,69422,3247681350,5565595
40,1,휴양콘도 운영업,220776794,43690.0,43481,51108,5448086786,2207757
41,2,건강보조식품 소매업,247212750,48750.0,5485,5716,1527309892,2472103
42,2,골프장 운영업,208656668,44050.0,50916,54567,8466213901,2086546
43,2,과실 및 채소 소매업,1117378274,222710.0,94726,103447,9526419182,11173672
44,2,관광 민예품 및 선물용품 소매업,544269194,101520.0,51679,55596,1852725724,5442638
45,2,그외 기타 분류안된 오락관련 서비스업,23408832,4000.0,416,425,21947000,234086
46,2,그외 기타 스포츠시설 운영업,88593278,16690.0,2508,3067,138682700,885924
47,2,그외 기타 종합 소매업,235304832,43960.0,116590,136302,12924794710,2353025
48,2,기타 갬블링 및 베팅업,1412414,0.0,56,66,279400000,14124
49,2,기타 대형 종합 소매업,200189684,36870.0,343237,392547,21479105040,2001877
50,2,기타 수상오락 서비스업,9689296,1460.0,84,85,8620151,96892
51,2,기타 외국식 음식점업,718028416,142070.0,60607,62818,2466977828,7180213
52,2,기타 주점업,404815712,82320.0,24911,26622,5127917634,4048117
53,2,기타음식료품위주종합소매업,616105806,125700.0,243802,275361,12102871569,6160997
